"is_active","new_spending","Coupon","Male","ActiveDays","Spending"
0,0,1,0,2,22.7
0,0,0,1,3,83.1
0,0,1,1,1,21.71
0,0,0,0,3,52.77
0,0,1,1,0,0
0,0,0,1,0,0
1,30.57,0,0,2,59.5
0,0,0,1,2,52.9
0,0,1,0,1,18.18
0,0,0,1,1,19.48
0,0,1,0,1,26.93
0,0,1,1,0,0
1,20.73,0,0,2,51.08
1,22.58,0,1,2,37.82
1,27.33,0,1,2,60.88
0,0,1,1,0,0
0,0,0,1,3,75.48
0,0,1,1,0,0
1,25.33,1,0,1,18.7
0,0,0,1,0,0
0,0,1,0,1,14.96
0,0,1,0,1,23.09
1,24.84,1,0,2,36.5
0,0,0,1,1,14.34
0,0,1,1,0,0
0,0,0,1,2,52.9
1,33.87,0,1,2,61.28
0,0,0,1,1,16.89
0,0,1,0,2,54.06
0,0,0,1,2,34.08
0,0,0,1,2,27.26
0,0,0,0,0,0
1,21.01,0,0,3,72.42
0,0,1,1,1,23.06
0,0,0,1,1,23.25
0,0,0,1,3,64.17
1,16.28,1,0,4,50.6
0,0,0,1,1,22.89
0,0,1,0,1,13.55
1,27.58,0,1,3,75.12
0,0,0,1,0,0
0,0,0,0,2,45.62
0,0,0,1,1,18.53
0,0,0,1,1,10.96
0,0,1,0,1,13.83
0,0,0,1,3,83.22
0,0,0,1,1,32.03
0,0,0,1,2,45.3
0,0,1,0,0,0
0,0,1,1,1,16.37
1,10.26,1,0,2,12.48
0,0,1,0,0,0
0,0,0,0,2,42.32
0,0,0,1,3,46.74
0,0,1,0,0,0
0,0,0,0,2,40.62
0,0,1,0,0,0
0,0,0,1,2,28.06
1,18.78,0,1,1,17.31
0,0,1,1,1,10.56
1,22.4,0,1,1,23.32
1,18.93,0,0,3,49.35
0,0,0,1,2,43.66
0,0,1,1,0,0
0,0,0,1,2,34.12
1,16.14,0,0,1,19.55
0,0,0,0,2,52.76
1,34.14,0,1,2,70.22
0,0,0,0,1,32.62
1,9.24,0,1,3,42.99
0,0,0,1,1,23.51
0,0,1,1,0,0
0,0,0,1,2,15.26
0,0,0,0,1,19.33
1,21.22,1,1,1,18.24
1,18.01,0,1,3,69.24
0,0,1,0,1,20.62
0,0,0,0,0,0
0,0,0,0,1,21.37
0,0,0,0,2,36.3
0,0,0,0,1,23.16
0,0,1,1,1,23.84
0,0,1,1,0,0
0,0,0,1,2,35.96
0,0,1,0,0,0
0,0,0,1,1,5.58
0,0,0,1,0,0
1,34.11,1,0,1,20.94
0,0,0,0,3,67.98
0,0,0,0,0,0
0,0,0,1,1,4.92
0,0,1,0,1,16.05
0,0,1,1,1,8.79
0,0,0,0,1,22.35
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,1,1,11.86
0,0,1,1,0,0
0,0,1,0,1,14.54
0,0,1,0,0,0
0,0,0,0,0,0
1,16.2,0,1,3,46.17
0,0,1,1,1,11.52
0,0,0,1,3,71.34
0,0,1,0,0,0
0,0,0,0,3,57.96
0,0,0,0,1,18.79
0,0,0,0,1,26.73
0,0,0,1,3,63.93
0,0,0,1,0,0
0,0,0,1,2,31.68
0,0,1,1,1,21.96
1,15.19,0,0,2,48.32
0,0,1,1,0,0
0,0,1,0,1,13.81
0,0,0,0,1,19.41
0,0,1,1,0,0
0,0,0,0,3,82.26
1,27.09,0,0,1,24.43
0,0,0,1,1,15.19
1,46.98,1,1,0,0
0,0,0,0,3,57.42
0,0,1,1,0,0
0,0,1,0,0,0
1,13.95,1,0,0,0
0,0,1,1,0,0
0,0,0,0,1,18.31
0,0,0,0,2,33.02
0,0,1,1,1,16.78
1,32.64,1,0,1,21.17
0,0,0,0,0,0
0,0,0,0,2,37.9
0,0,1,0,1,18.3
0,0,0,0,1,20.92
0,0,1,1,0,0
0,0,1,1,0,0
0,0,0,1,2,39.66
0,0,0,1,2,15.78
0,0,0,0,3,40.59
0,0,1,1,2,63.48
0,0,1,1,1,24.85
1,13.62,0,1,2,35.04
0,0,1,1,0,0
0,0,0,0,0,0
1,21,0,0,2,35.78
1,19.45,1,0,0,0
0,0,0,1,2,32.54
1,40.12,1,1,4,87.8
1,26.46,1,0,1,19.33
0,0,1,0,0,0
0,0,1,1,0,0
0,0,0,1,1,12.92
0,0,1,0,0,0
1,23.43,0,0,2,40
0,0,1,1,0,0
1,20.57,0,0,4,69.08
0,0,0,0,2,27.78
0,0,0,0,2,43.44
0,0,0,1,2,31.2
1,21.3,0,1,1,28.06
0,0,0,1,3,68.37
1,29.66,1,0,4,78.96
0,0,1,0,1,26.73
0,0,0,1,3,66.87
1,20.2,0,0,3,49.02
0,0,1,0,0,0
1,37.44,0,0,3,67.59
0,0,0,0,1,17.93
0,0,0,1,1,17.91
0,0,1,0,0,0
1,38.87,1,0,3,84.69
0,0,0,1,0,0
0,0,1,0,2,42.42
1,17.82,0,1,2,35.12
0,0,1,1,1,28.96
0,0,1,1,0,0
1,15.67,0,1,2,41.62
1,18.97,1,1,3,48.57
0,0,0,0,2,46.36
1,12.37,1,0,1,16.82
0,0,0,0,3,61.47
0,0,0,1,1,12.69
0,0,1,1,1,9.67
0,0,0,1,2,42.94
0,0,0,1,2,73.72
0,0,1,0,0,0
1,27.2,0,0,2,60.22
0,0,0,1,3,52.14
0,0,0,1,3,36.78
1,22.58,0,0,2,40.56
1,20.88,1,1,0,0
0,0,1,0,2,35
0,0,1,1,1,16.65
0,0,1,1,0,0
0,0,0,0,2,31.06
1,23.51,0,1,3,77.37
0,0,0,0,2,40.12
0,0,0,0,3,57.15
0,0,0,1,1,15.32
0,0,1,0,0,0
0,0,0,1,4,56.36
0,0,0,0,1,12.81
0,0,1,1,2,37.38
0,0,0,1,2,30.14
1,23.43,0,0,2,47.84
0,0,0,1,0,0
0,0,0,0,3,89.79
0,0,0,1,2,49.46
0,0,0,0,2,43.24
0,0,0,1,1,22.63
0,0,0,0,2,51.7
1,39.77,1,1,1,28.1
0,0,0,1,4,80.6
0,0,0,1,1,30.74
0,0,0,1,4,119.68
0,0,1,0,0,0
0,0,1,1,0,0
0,0,0,1,1,19.32
1,20.8,1,0,2,31.8
0,0,0,1,0,0
1,18,0,1,2,33.2
1,15.38,0,1,4,109.64
1,22.99,0,1,2,38.86
0,0,1,1,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,1,2,36.16
0,0,0,0,2,41.28
0,0,0,0,2,35.4
0,0,1,1,0,0
0,0,0,0,3,70.5
1,13.68,0,1,1,15.51
1,28.09,0,1,4,79.68
1,19.84,0,0,1,22.49
0,0,0,1,1,9.36
0,0,1,1,1,17.12
0,0,1,1,1,17.56
0,0,0,0,0,0
0,0,0,0,2,62.74
0,0,0,1,2,64.98
0,0,1,0,0,0
0,0,0,1,2,41.28
0,0,0,1,3,66.72
0,0,0,1,2,31.08
0,0,1,0,0,0
0,0,1,1,0,0
1,22.75,0,1,3,59.19
1,18.69,0,0,2,52.46
0,0,1,0,1,14.12
0,0,0,1,1,24.86
0,0,0,0,1,31.78
0,0,0,1,3,65.46
1,12.87,0,0,3,49.2
0,0,0,0,2,45.62
1,29.39,1,1,1,26.73
0,0,0,0,2,20.62
1,23.89,0,1,3,35.37
0,0,1,1,1,27.01
1,27.86,0,0,2,51.6
0,0,0,0,2,38.6
0,0,0,1,2,30.26
0,0,0,1,1,28.15
0,0,0,1,3,47.1
0,0,0,0,2,53.12
0,0,0,0,1,20.57
1,21.12,0,1,1,21.22
0,0,1,1,1,17.58
0,0,0,0,2,37.9
0,0,1,0,0,0
0,0,1,1,0,0
1,37.48,1,0,1,23.13
0,0,1,1,0,0
1,7.5,0,1,5,77.05
0,0,0,0,1,21.61
1,11.76,0,1,2,37.96
0,0,1,0,0,0
0,0,0,1,2,59.3
0,0,0,1,1,22.3
0,0,1,0,0,0
0,0,1,0,1,19.58
1,16.32,0,0,2,29.16
0,0,1,1,2,19.48
0,0,0,1,2,27.34
0,0,0,0,0,0
0,0,0,1,1,13.97
0,0,0,0,2,32.64
0,0,1,1,0,0
0,0,0,0,3,41.34
0,0,1,0,1,17.51
0,0,1,1,0,0
0,0,0,0,1,37.65
0,0,1,1,1,15.34
0,0,1,1,1,13.38
1,24.65,0,0,2,42.38
0,0,0,0,1,21.75
0,0,1,1,0,0
0,0,0,1,1,22.01
1,24.04,1,0,1,15.26
0,0,0,1,2,40.04
0,0,0,0,2,49.32
0,0,1,1,0,0
0,0,1,0,1,30.81
1,25,0,0,1,23.61
0,0,0,1,1,33.84
1,25.81,0,0,3,72.84
0,0,0,0,2,41.68
1,24.67,0,0,2,45.16
0,0,0,0,2,43.86
0,0,1,1,1,20.04
0,0,1,1,0,0
0,0,0,1,2,36.84
0,0,1,0,2,47.14
1,26.54,1,1,1,23.08
1,9.89,0,1,2,36.1
0,0,0,0,1,27.19
0,0,0,1,3,47.76
0,0,1,0,1,10.48
0,0,0,0,3,56.88
0,0,1,1,1,25.9
0,0,0,0,1,10.35
1,10.33,1,1,2,18.76
0,0,1,1,0,0
0,0,0,0,2,29
0,0,0,1,5,131.25
0,0,1,0,0,0
0,0,0,1,3,50.13
0,0,0,1,3,85.59
0,0,1,0,0,0
0,0,1,0,3,64.71
0,0,0,0,2,49.1
0,0,0,0,0,0
0,0,0,1,2,49.18
0,0,0,0,2,31.9
0,0,1,1,0,0
0,0,1,0,1,25.07
0,0,0,0,2,23.54
0,0,1,0,1,15.79
0,0,1,0,2,21.26
0,0,1,0,1,23.93
0,0,1,0,2,13.82
0,0,0,1,1,23.11
1,24.8,1,0,2,32.36
1,0,0,1,3,21.12
0,0,0,0,1,8.82
0,0,0,0,2,41.42
0,0,1,0,1,7.16
0,0,0,1,1,20.08
0,0,0,1,1,10.71
0,0,1,0,1,15.01
0,0,0,1,0,0
0,0,0,0,1,16.13
0,0,0,1,1,20.26
1,16.33,0,0,5,99.4
0,0,0,1,2,31.56
1,17.54,0,1,3,55.11
0,0,1,0,0,0
0,0,0,1,1,12.45
0,0,0,1,3,49.56
1,19.05,0,1,2,28.68
0,0,0,1,1,25.01
1,25.97,0,0,2,44.44
1,16.84,0,1,1,11.66
1,31.08,0,1,1,24.05
0,0,0,0,0,0
1,18.98,0,0,3,33.39
0,0,0,1,1,16.22
0,0,1,1,1,10.34
0,0,0,1,1,6.02
1,12.27,0,1,4,56.52
0,0,0,1,1,15.85
1,32.14,1,0,2,46.36
0,0,1,0,0,0
0,0,0,1,2,25.8
0,0,0,0,2,39.52
1,26.56,0,1,1,28.96
0,0,1,1,0,0
0,0,0,1,1,20.26
0,0,0,0,3,87.48
0,0,0,0,1,15.64
1,22.54,0,1,2,47.64
0,0,0,1,0,0
1,0.08,1,0,1,9.05
0,0,0,1,3,88.44
0,0,1,0,0,0
0,0,0,0,1,21.69
0,0,0,1,1,19.41
1,26.54,0,1,2,43.38
0,0,0,1,0,0
0,0,1,1,1,22.1
1,11.77,0,0,3,25.2
0,0,1,0,0,0
1,26.96,0,1,2,51.52
0,0,1,1,1,9.62
0,0,1,1,1,17.23
0,0,0,1,2,39.94
0,0,1,1,1,21.7
0,0,1,0,0,0
0,0,0,0,1,20.05
0,0,0,1,3,78.48
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,0,1,2,54.7
0,0,0,0,2,53.18
0,0,0,1,2,48.62
0,0,1,1,1,9.74
0,0,0,0,1,23.76
1,16.92,1,0,0,0
0,0,0,1,2,30
0,0,0,0,2,51.28
0,0,1,0,1,18.63
0,0,0,0,1,19.65
0,0,0,0,1,27.33
1,28.96,1,0,1,27.23
1,30.25,0,0,3,74.07
0,0,0,1,2,38.52
0,0,1,1,0,0
1,16.09,1,1,1,17.3
0,0,0,1,2,49.82
0,0,0,1,2,47.64
0,0,0,1,2,57.88
0,0,0,0,2,36.62
0,0,0,1,1,13.08
0,0,0,0,3,66
0,0,1,1,0,0
1,10.19,0,0,3,13.92
1,13.2,0,1,1,20.11
0,0,1,0,2,44.94
1,21.22,0,0,2,37.62
1,18.04,0,0,2,32.2
0,0,0,0,2,40.46
0,0,1,1,1,19.13
0,0,0,0,3,71.04
0,0,1,1,0,0
1,16.65,0,0,1,14.86
1,23.32,0,0,2,37
1,23.36,0,0,2,44.38
0,0,1,0,0,0
0,0,0,0,2,36.7
0,0,0,1,1,22.38
0,0,1,1,0,0
1,15.51,0,1,2,31.72
1,30.04,0,1,2,56.88
0,0,1,0,1,19.93
0,0,0,1,2,62.54
0,0,0,0,2,34.38
1,19.91,0,1,2,42.62
0,0,1,1,2,69.42
0,0,1,1,0,0
0,0,1,1,0,0
1,13.83,0,1,2,36.38
0,0,0,0,2,23.44
0,0,0,1,1,24.22
0,0,1,0,1,25.76
0,0,0,1,2,52.92
0,0,1,0,1,20.68
0,0,0,1,1,11.53
0,0,0,0,1,5.6
1,22.18,0,0,1,22.69
0,0,0,1,0,0
0,0,1,0,2,31.5
0,0,1,1,1,25.65
1,22.86,1,1,1,13.45
1,17.03,0,0,3,69.09
0,0,1,0,1,10.95
1,33.03,1,0,1,18.6
0,0,0,1,1,22.31
1,13.55,0,1,2,31.98
0,0,1,1,1,11.45
1,6.45,1,0,2,16.7
0,0,1,1,0,0
0,0,1,0,2,18.92
0,0,1,0,2,43.18
0,0,1,0,0,0
0,0,1,1,2,26.38
0,0,0,1,0,0
0,0,1,1,3,33
0,0,1,0,0,0
0,0,1,1,1,20.8
0,0,1,1,2,27.28
0,0,0,1,1,24.18
1,13.19,1,0,2,27.92
1,23.18,0,1,2,32.38
0,0,1,0,1,14.65
0,0,1,1,1,13.03
0,0,0,0,2,41.04
0,0,0,0,1,15.01
0,0,1,0,1,22.88
1,27.49,1,1,3,51.15
0,0,1,1,0,0
0,0,0,1,2,33.18
0,0,0,1,1,10.04
0,0,1,1,0,0
0,0,0,1,1,15.59
1,26.41,1,0,0,0
1,11.28,0,0,2,34.12
0,0,0,1,2,33.5
1,29.87,0,0,2,44.44
0,0,1,1,1,16
1,30.69,0,0,2,57.36
0,0,0,0,0,0
1,22.65,0,0,2,43.7
0,0,0,1,1,17.75
0,0,0,0,1,11.42
0,0,0,0,2,57.84
0,0,0,0,3,48.78
0,0,1,1,2,40.02
1,20.1,0,0,4,71.52
0,0,0,1,1,20.67
0,0,1,0,1,15.35
1,16.34,0,0,4,80.12
0,0,1,0,0,0
1,16.48,1,1,2,27.22
0,0,0,1,1,15.12
0,0,1,1,0,0
0,0,1,1,0,0
1,15.24,0,1,1,17.53
0,0,0,1,4,139.52
0,0,1,1,0,0
0,0,0,1,2,56.46
0,0,0,1,2,48.38
0,0,1,0,1,22.47
0,0,0,1,2,34.8
1,4.86,0,1,3,7.74
0,0,0,0,4,82.6
1,33.32,0,0,2,66.16
0,0,1,0,1,18.17
1,22.61,1,0,1,21.42
0,0,0,1,1,26.91
0,0,1,0,1,15.8
0,0,0,1,2,31.78
0,0,1,1,1,22.62
0,0,0,1,1,22.72
0,0,0,0,2,30.38
0,0,0,0,1,16.73
0,0,1,0,0,0
0,0,0,1,1,19.35
0,0,1,1,3,41.31
0,0,0,0,2,59.34
0,0,1,0,0,0
0,0,1,0,1,21.96
0,0,1,0,3,37.29
0,0,0,0,2,47.24
0,0,1,1,1,24.42
1,20.63,0,0,3,63.6
0,0,1,0,0,0
0,0,0,0,2,30.48
0,0,0,1,5,42.45
1,40.44,1,0,1,23.54
0,0,0,0,1,27.4
0,0,0,1,1,11.49
0,0,1,1,0,0
0,0,0,0,2,25.66
0,0,0,1,2,14.62
1,28.83,1,1,3,71.73
0,0,0,1,1,22.32
0,0,0,0,1,20.42
0,0,0,1,3,39.96
0,0,1,1,1,20.06
0,0,1,1,0,0
0,0,1,0,1,9.17
0,0,0,1,1,28.69
0,0,0,1,3,73.35
0,0,0,0,2,33.14
0,0,0,1,1,27.49
1,25.91,1,1,1,27.49
0,0,1,1,1,21.43
1,22.16,1,0,1,15.02
0,0,1,0,0,0
0,0,0,0,0,0
0,0,1,1,0,0
0,0,1,0,0,0
1,15.64,0,1,3,35.64
0,0,0,0,2,33.98
0,0,1,0,1,20.62
0,0,0,1,1,28.87
0,0,0,0,0,0
0,0,0,1,1,19.45
1,21.42,0,1,2,19.96
0,0,0,1,1,16.24
1,24.97,0,1,2,51.32
0,0,1,1,1,14.25
0,0,1,1,2,40.2
0,0,1,1,0,0
0,0,0,1,0,0
1,18.12,0,0,4,76.36
0,0,0,1,2,34.74
0,0,0,0,1,18.24
0,0,0,1,2,38.58
0,0,0,0,2,48.82
0,0,0,1,1,33.08
0,0,1,0,1,20.7
0,0,0,1,2,34.92
1,26.13,0,1,2,45.86
0,0,0,1,1,33.38
0,0,0,1,1,21.85
1,27.11,0,0,3,97.17
0,0,0,1,2,57.08
1,14.81,1,0,1,12.29
0,0,0,0,3,58.5
1,1.7,0,0,1,8
0,0,0,0,0,0
0,0,0,1,2,48.68
0,0,1,0,1,25.29
0,0,0,0,1,25.62
0,0,1,0,1,16.24
0,0,0,1,2,41.62
0,0,1,0,0,0
0,0,0,1,2,61.02
1,27.1,0,1,2,38.54
1,33.44,0,1,1,28.73
0,0,0,0,2,46.7
1,26.98,0,1,1,27
1,19.65,0,1,3,69.36
0,0,0,1,0,0
1,7.03,0,0,1,14.95
1,38.57,1,1,1,22.93
0,0,0,1,1,29.84
1,19.63,0,0,4,90.72
1,12.93,0,1,2,36.52
1,12.53,1,1,1,12.81
0,0,0,0,2,45.1
1,18.11,0,1,4,66.64
0,0,1,1,1,25.28
0,0,0,1,2,30.16
0,0,0,1,1,30.77
1,17.64,0,1,2,28.62
0,0,1,1,1,20.41
0,0,0,0,1,14.92
0,0,0,0,0,0
1,15.6,0,1,2,29.4
0,0,0,1,2,56.06
0,0,0,1,0,0
1,19.72,0,0,4,92.4
0,0,1,1,0,0
0,0,0,0,2,40.7
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,1,2,42
1,32.75,0,0,3,73.83
0,0,0,0,1,20.37
1,43.79,1,1,0,0
0,0,1,0,2,55.28
0,0,0,1,2,47.08
1,24.37,0,1,2,46.52
0,0,0,0,0,0
1,17.46,0,1,3,58.05
1,22.52,0,1,1,18.53
0,0,0,0,1,32.04
0,0,1,0,0,0
0,0,0,1,1,21.22
0,0,0,1,1,19.99
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,1,2,39.44
1,21.28,0,1,2,40.18
1,17.19,0,1,3,57.51
0,0,0,1,3,50.16
0,0,1,1,1,23.44
0,0,0,1,1,24.22
0,0,0,1,1,15.29
0,0,1,0,2,13.44
0,0,0,0,1,28.48
0,0,1,1,0,0
0,0,0,1,0,0
0,0,0,0,3,57.72
1,15.35,1,1,3,27.96
0,0,1,1,0,0
0,0,0,0,0,0
0,0,1,0,1,26.6
0,0,0,0,3,26.67
0,0,0,1,3,72.54
0,0,1,1,0,0
0,0,0,0,1,20.01
0,0,1,0,0,0
1,19.4,0,1,3,59.25
0,0,0,1,1,23.83
0,0,1,1,2,43.56
1,32.73,0,0,1,32.83
1,26.26,0,1,2,60.56
0,0,0,0,3,25.89
1,20.03,1,1,1,14.13
0,0,1,1,1,22.7
0,0,1,1,2,12.46
0,0,0,0,2,35.94
0,0,0,1,2,36.76
0,0,1,1,0,0
1,24.24,0,0,2,39.14
0,0,1,0,3,58.62
0,0,1,1,1,20.95
0,0,1,0,0,0
0,0,0,0,1,18.72
0,0,0,1,2,64.72
0,0,1,0,0,0
1,25.44,0,0,2,43.46
0,0,0,0,2,57.2
0,0,0,0,1,19.33
1,18.88,0,0,3,60.51
0,0,0,1,0,0
0,0,0,0,4,60.08
0,0,0,1,2,55.82
0,0,1,0,1,18.08
0,0,1,0,0,0
0,0,0,0,3,43.8
0,0,0,0,1,23.6
0,0,1,1,0,0
0,0,0,1,2,33.46
0,0,0,1,3,32.64
0,0,0,1,2,30.42
1,13.57,0,1,2,23.02
0,0,1,0,0,0
0,0,1,1,0,0
0,0,1,1,1,15.18
0,0,1,1,0,0
0,0,1,0,0,0
0,0,1,1,0,0
1,19.1,1,0,3,30
1,29.12,1,0,1,22.4
0,0,0,1,2,39.88
1,19.13,1,1,2,33.9
0,0,1,0,0,0
0,0,0,1,1,12.89
1,24.37,0,0,3,50.16
0,0,0,1,2,32.38
1,17.38,0,0,2,38.54
0,0,0,1,2,33.1
0,0,0,1,1,15.36
0,0,0,0,1,31.6
0,0,1,1,0,0
1,27.15,0,1,3,63.48
0,0,0,1,2,35.9
1,12.44,1,0,2,26.46
1,21.67,0,0,3,60.27
1,34.63,0,0,1,26.81
0,0,0,1,1,23.99
1,12.5,0,0,3,64.32
0,0,1,1,1,19.2
0,0,1,1,0,0
1,20.65,1,0,0,0
0,0,1,1,1,27.45
0,0,0,0,1,26.37
0,0,0,0,1,19.67
1,22.02,0,1,4,83.12
0,0,0,0,2,36.14
0,0,0,1,3,47.91
0,0,1,0,0,0
0,0,0,0,1,14.18
0,0,0,0,2,44.24
0,0,1,1,0,0
0,0,0,1,2,36.82
1,30.56,1,0,1,23.73
0,0,0,0,1,16.34
0,0,0,0,2,46.7
1,30.66,0,1,3,78.99
0,0,0,1,3,74.55
0,0,0,1,1,21.74
0,0,0,1,3,76.86
0,0,1,0,0,0
0,0,0,1,0,0
0,0,1,1,1,19.65
0,0,0,0,2,40.4
1,22.52,0,0,3,72.75
0,0,1,1,1,24.97
0,0,0,1,1,31.31
0,0,1,0,3,75.54
0,0,1,0,2,43.72
0,0,1,1,1,15.15
0,0,0,0,2,38.7
0,0,1,1,0,0
0,0,1,1,1,12.68
0,0,1,1,0,0
0,0,0,0,2,33.32
0,0,1,1,2,62.24
1,30.38,0,1,2,55.64
1,30.33,0,0,2,58.9
0,0,0,1,1,23.83
0,0,0,1,2,51.76
0,0,0,0,3,69.96
1,28.1,1,1,1,24.17
1,23.9,1,1,4,81
0,0,0,0,3,66.21
0,0,1,1,1,18.79
0,0,0,0,2,46.38
1,17.27,1,1,1,12.68
0,0,0,0,3,59.82
0,0,0,1,1,15.92
0,0,1,0,0,0
0,0,0,1,1,21.74
0,0,0,0,0,0
0,0,0,0,1,13.78
0,0,1,1,0,0
0,0,1,0,0,0
0,0,0,1,2,40.46
1,27.8,1,0,1,27.15
0,0,1,0,0,0
0,0,1,0,0,0
1,17.74,0,1,1,20.91
0,0,0,0,2,64.9
0,0,1,0,1,19.87
0,0,1,1,0,0
0,0,1,0,0,0
0,0,0,0,2,58.34
1,22.44,1,1,1,12.93
0,0,0,0,3,41.79
1,29.98,0,0,2,51.82
0,0,0,1,1,23.21
0,0,1,0,0,0
0,0,1,0,1,15.13
0,0,0,1,1,16.15
1,25.89,0,1,2,47.16
0,0,1,1,1,26.24
0,0,0,1,2,34.3
0,0,0,0,3,57.42
0,0,1,1,1,20.8
0,0,0,0,0,0
0,0,0,0,3,33.51
0,0,1,1,1,17.27
0,0,0,1,1,25.86
0,0,0,1,1,18.09
0,0,1,0,0,0
0,0,0,0,1,26.34
0,0,0,1,2,39
0,0,0,1,1,17.24
1,27.23,0,0,4,92.64
0,0,1,0,0,0
1,26.51,0,1,3,59.79
1,15.25,0,1,2,23.16
0,0,1,1,1,19.11
1,17.16,0,1,2,37
0,0,0,0,2,29.14
1,30.35,0,0,4,116.04
0,0,1,0,1,9.29
0,0,0,1,2,33.54
1,19.45,0,0,2,30.84
0,0,1,1,1,17.73
1,27.38,1,1,1,18.36
0,0,0,0,1,28.82
0,0,0,0,1,8.57
1,16.41,0,1,1,17.65
0,0,0,1,1,20.9
0,0,1,1,1,15.58
0,0,0,0,1,18.15
0,0,0,1,1,28.22
0,0,1,0,0,0
0,0,0,1,0,0
0,0,0,1,1,26.53
0,0,1,0,0,0
0,0,1,1,0,0
0,0,1,1,0,0
0,0,1,1,0,0
0,0,1,0,0,0
0,0,0,0,1,14.87
1,3.52,0,0,3,28.44
1,20.88,1,0,0,0
0,0,1,0,0,0
0,0,1,0,1,20.3
0,0,0,1,0,0
0,0,1,1,1,20.34
0,0,0,0,1,12.29
0,0,1,0,1,12.03
0,0,0,0,0,0
0,0,1,1,1,20.63
0,0,1,0,0,0
0,0,1,0,3,91.68
0,0,1,1,1,19.67
1,22.69,1,1,1,18.22
0,0,0,1,1,28.36
1,42.3,0,1,3,82.56
1,30.51,0,0,3,55.92
1,11.32,1,1,1,14.71
1,15.48,1,1,1,19.42
1,22.28,1,0,1,16.88
1,37.09,1,1,1,27.18
0,0,1,0,2,55.42
